"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"14D","1414 DEGREES LIMITED","Capital Goods","12/09/2018",12384763
"1AD","ADALTA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/08/2016",11564494
"1AE","AURORA ENERGY METALS LIMITED","Materials","18/05/2022",14146035
"1AG","ALTERRA LIMITED","Food, Beverage & Tobacco","16/05/2008",5572420
"1AI","ALGORAE PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","01/09/2004",21596123
"1CG","ONE CLICK GROUP LIMITED","Capital Goods","28/04/2017",9117522
"1MC","MORELLA CORPORATION LIMITED","Materials","08/01/2001",33983397
"1TT","THRIVE TRIBE TECHNOLOGIES LIMITED","Software & Services","09/07/2015",5042566
"29M","29METALS LIMITED","Materials","02/07/2021",333124782
"360","LIFE360 INC.","Software & Services","10/05/2019",1422731298
"3DA","AMAERO INTERNATIONAL LTD","Capital Goods","06/12/2019",87591394
"3DP","POINTERRA LIMITED","Software & Services","27/03/2008",32123501
"3PL","3P LEARNING LIMITED..","Consumer Services","09/07/2014",339317828
"4DS","4DS MEMORY LIMITED","Semiconductors & Semiconductor Equipment","09/12/2010",174908492
"4DX","4DMEDICAL LIMITED","Health Care Equipment & Services","07/08/2020",330983903
"5EA","5E ADVANCED MATERIALS INC.","Materials","01/03/2022",137134867
"5GG","PENTANET LIMITED","Telecommunication Services","29/01/2021",21302451
"88E","88 ENERGY LIMITED","Energy","20/01/2000",88474620
"8CO","8COMMON LIMITED","Software & Services","27/08/2014",13445694
"8VI","8VI HOLDINGS LIMITED","Consumer Services","16/12/2015",2766154
"92E","92 ENERGY LIMITED","Energy","15/04/2021",40954414
"A11","ATLANTIC LITHIUM LIMITED","Materials","26/09/2022",296937205
"A1G","AFRICAN GOLD LTD.","Materials","14/02/2019",5925892
"A1M","AIC MINES LIMITED","Materials","04/11/1993",150302955
"A1N","ARN MEDIA LIMITED","Media & Entertainment","07/05/1992",281049128
"A2B","A2B AUSTRALIA LIMITED","Transportation","14/12/1999",213999224
"A2M","THE A2 MILK COMPANY LIMITED","Food, Beverage & Tobacco","31/03/2015",2927885972
"A3D","AURORA LABS LIMITED","Capital Goods","16/08/2016",6476986
"A4N","ALPHA HPA LIMITED","Materials","22/10/2007",831081190
"A8G","AUSTRALASIAN METALS LIMITED","Materials","13/05/2021",7296869
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","Food, Beverage & Tobacco","10/08/2001",849901113
"AAJ","ARUMA RESOURCES LIMITED","Materials","23/07/2010",6103637
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","Food, Beverage & Tobacco","07/01/2004",6101990
"AAR","ASTRAL RESOURCES NL","Materials","13/11/1986",63447803
"AAU","ANTILLES GOLD LIMITED","Materials","25/11/1993",17663955
"ABA","AUSWIDE BANK LTD","Banks","19/09/1994",225048793
"ABB","AUSSIE BROADBAND LIMITED","Telecommunication Services","16/10/2020",1058877304
"ABC","ADBRI LIMITED","Materials","31/05/1962",1391591927
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","Financial Services","06/12/2021",8269816
"ABG","ABACUS GROUP","Equity Real Estate Investment Trusts (REITs)","14/11/2002",965150244
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","Automobiles & Components","28/05/2002",17523998
"ABX","ABX GROUP LIMITED","Materials","24/12/2009",16963857
"ABY","ADORE BEAUTY GROUP LIMITED","Consumer Discretionary Distribution & Retail","23/10/2020",107523941
"AC8","AUSCANN GROUP HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","03/05/1989","SUSPENDED"
"ACE","ACUSENSUS LIMITED.","Software & Services","12/01/2023",104911979
"ACF","ACROW LIMITED","Capital Goods","27/06/2008",284709344
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","Health Care Equipment & Services","14/05/2021",538896820
"ACM","AUSTRALIAN CRITICAL MINERALS LIMITED","Materials","03/07/2023",6312033
"ACP","AUDALIA RESOURCES LIMITED","Materials","06/07/2011",11074179
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","Not Applic","01/05/2014",85180813
"ACR","ACRUX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/09/2004",13297599
"ACS","ACCENT RESOURCES NL","Materials","26/08/2005",3785018
"ACU","ACUMENTIS GROUP LIMITED","Real Estate Management & Development","05/12/2003",13308651
"ACW","ACTINOGEN MEDICAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2007",54221787
"AD1","AD1 HOLDINGS LIMITED","Media & Entertainment","23/06/2016",6012475
"AD8","AUDINATE GROUP LIMITED","Technology Hardware & Equipment","30/06/2017",1247463628
"ADA","ADACEL TECHNOLOGIES LIMITED","Software & Services","27/02/1998",57930992
"ADC","ACDC METALS LTD","Materials","17/01/2023",5278274
"ADD","ADAVALE RESOURCES LIMITED","Energy","06/02/1992",5842954
"ADG","ADELONG GOLD LIMITED","Materials","21/03/2007",3279773
"ADH","ADAIRS LIMITED","Consumer Discretionary Distribution & Retail","17/06/2015",277746826
"ADN","ANDROMEDA METALS LIMITED","Materials","17/09/1996",62205419
"ADO","ANTEOTECH LTD","Pharmaceuticals, Biotechnology & Life Sciences","07/04/2000",74679043
"ADRDA","ADHERIUM LIMITED","Health Care Equipment & Services","26/08/2015","--"
"ADS","ADSLOT LTD.","Software & Services","17/12/1987",6448991
"ADT","ADRIATIC METALS PLC","Materials","01/05/2018",968950927
"ADX","ADX ENERGY LTD","Energy","29/01/1987",41208579
"ADY","ADMIRALTY RESOURCES NL.","Materials","01/12/1983",7821475
"AEE","AURA ENERGY LIMITED","Energy","30/05/2006",183214792
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","Financial Services","17/12/2002",542481670
"AEI","AERIS ENVIRONMENTAL LTD","Commercial & Professional Services","12/09/2000",7860626
"AER","AEERIS LTD","Media & Entertainment","01/04/2015",5869876
"AEV","AVENIRA LIMITED","Materials","10/10/2006",26058859
"AFA","ASF GROUP LIMITED","Financial Services","29/05/1985",35657889
"AFG","AUSTRALIAN FINANCE GROUP LTD","Financial Services","22/05/2015",460307377
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","Not Applic","30/06/1962",8925294026
"AFL","AF LEGAL GROUP LTD","Commercial & Professional Services","19/09/2003",14941285
"AFP","AFT PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/12/2015",333474707
"AFW","APPLYFLOW LIMITED","Media & Entertainment","30/11/2010","--"
"AGC","AUSTRALIAN GOLD AND COPPER LTD","Materials","20/01/2021",6300000
"AGD","AUSTRAL GOLD LIMITED","Materials","18/04/1997",18369341
"AGE","ALLIGATOR ENERGY LIMITED","Energy","03/02/2011",208564686
"AGH","ALTHEA GROUP HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/09/2018",13861538
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","Consumer Services","17/12/2001",394048897
"AGL","AGL ENERGY LIMITED.","Utilities","12/10/2006",6128727293
"AGN","ARGENICA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","11/06/2021",45609378
"AGR","AGUIA RESOURCES LIMITED","Materials","13/02/2008",4683370
"AGY","ARGOSY MINERALS LIMITED","Materials","03/04/1997",210661125
"AHC","AUSTCO HEALTHCARE LIMITED","Health Care Equipment & Services","24/09/2004",55989021
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","Food, Beverage & Tobacco","30/06/2006",10493869
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","Software & Services","17/08/2015",24554666
"AHK","ARK MINES LIMITED","Materials","09/05/2011",11857330
"AHL","ADRAD HOLDINGS LIMITED","Automobiles & Components","30/09/2022",65028138
"AHN","ATHENA RESOURCES LIMITED","Materials","22/11/2006",3746636
"AHX","APIAM ANIMAL HEALTH LIMITED","Health Care Equipment & Services","15/12/2015",51301552
"AI1","ADISYN LTD","Software & Services","10/11/2020",3834897
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","Transportation","22/02/1999",11235565175
"AII","ALMONTY INDUSTRIES INC.","Materials","02/08/2021",137062596
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","Commercial & Professional Services","15/09/2020",57423863
"AIQ","ALTERNATIVE INVESTMENT TRUST","Not Applic","08/05/2005",45276546
"AIS","AERIS RESOURCES LIMITED","Materials","02/02/2011",98753237
"AIV","ACTIVEX LIMITED","Materials","11/04/2006",3663544
"AIZ","AIR NEW ZEALAND LIMITED","Transportation","01/10/1997",2071605554
"AJL","AJ LUCAS GROUP LIMITED","Capital Goods","10/08/1999",17884485
"AJQ","ARMOUR ENERGY LIMITED","Energy","26/04/2012","SUSPENDED"
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","Materials","22/12/1999",9873857
"AJY","ASAPLUS RESOURCES LIMITED","Materials","16/11/2012",1360000
"AKE","ALLKEM LIMITED","Materials","04/12/2007",5466197055
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","Consumer Services","01/06/1977",39121268
"AKM","ASPIRE MINING LIMITED","Materials","06/02/2007",48733151
"AKN","AUKING MINING LIMITED","Materials","29/10/2007",11517685
"AKO","AKORA RESOURCES LIMITED","Materials","15/12/2020",13297594
"AKP","AUDIO PIXELS HOLDINGS LIMITED","Consumer Durables & Apparel","24/12/2004",271946031
"AL3","AML3D LIMITED","Capital Goods","20/04/2020",17902082
"AL8","ALDERAN RESOURCES LIMITED","Materials","09/06/2017",7194598
"ALA","AROVELLA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2002",81813621
"ALB","ALBION RESOURCES LIMITED","Materials","30/04/2021",4633933
"ALC","ALCIDION GROUP LIMITED","Health Care Equipment & Services","24/06/2011",92282896
"ALD","AMPOL LIMITED","Energy","31/12/1980",8238103562
"ALG","ARDENT LEISURE GROUP LIMITED","Consumer Services","30/11/2018",213469177
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","Not Applic","03/07/2015",342496511
"ALK","ALKANE RESOURCES LIMITED","Materials","07/10/1980",395251443
"ALL","ARISTOCRAT LEISURE LIMITED","Consumer Services","09/07/1996",25968346084
"ALM","ALMA METALS LIMITED","Energy","18/04/2007",10026007
"ALQ","ALS LIMITED","Commercial & Professional Services","18/07/1952",6129562879
"ALU","ALTIUM LIMITED","Software & Services","04/08/1999",6006628934
"ALV","ALVO MINERALS LIMITED","Materials","20/10/2021",18626063
"ALX","ATLAS ARTERIA","Transportation","25/01/2010",8284260467
"ALY","ALCHEMY RESOURCES LIMITED","Materials","26/11/2007",11780763
"AM7","ARCADIA MINERALS LIMITED","Materials","25/06/2021",10032609
"AMA","AMA GROUP LIMITED","Commercial & Professional Services","31/08/2006",124641845
"AMC","AMCOR PLC","Materials","28/08/1969",20812942253
"AMD","ARROW MINERALS LTD","Materials","28/10/2005",6047530
"AME","ALTO METALS LIMITED","Materials","20/12/2012",31662404
"AMH","AMCIL LIMITED","Not Applic","10/02/2000",311233642
"AMI","AURELIA METALS LIMITED","Materials","08/05/2007",185874414
"AML","AEON METALS LIMITED.","Materials","14/06/2007",13156807
"AMM","ARMADA METALS LIMITED","Materials","15/12/2021",7072000
"AMN","AGRIMIN LIMITED","Materials","09/10/2007",63485593
"AMO","AMBERTECH LIMITED","Technology Hardware & Equipment","10/12/2004",23798226
"AMP","AMP LIMITED","Financial Services","15/06/1998",2599491665
"AMS","ATOMOS LIMITED","Consumer Durables & Apparel","28/12/2018","SUSPENDED"
"AMT","ALLEGRA MEDICAL TECHNOLOGIES LIMITED","Health Care Equipment & Services","05/12/2007",5980551
"AMX","AEROMETREX LIMITED","Commercial & Professional Services","10/12/2019",24697566
"AN1","ANAGENICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/12/2005",7196779
"AND","ANSARADA GROUP LIMITED","Software & Services","14/02/2020",147408624
"ANG","AUSTIN ENGINEERING LIMITED","Capital Goods","09/03/2004",184716592
"ANL","AMANI GOLD LIMITED","Materials","14/12/2006","SUSPENDED"
"ANN","ANSELL LIMITED","Health Care Equipment & Services","22/08/1985",3060797215
"ANO","ADVANCE ZINCTEK LIMITED","Materials","24/02/2005",51818327
"ANP","ANTISENSE THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/12/2001",51388063
"ANR","ANATARA LIFESCIENCES LTD","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2014",3237948
"ANRN","ANATARA LIFESCIENCES LTD","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2014",3237948
"ANX","ANAX METALS LIMITED","Materials","15/06/2004",12503858
"ANZ","ANZ GROUP HOLDINGS LIMITED","Banks","30/09/1969",74230586084
"AO1","ASSETOWL LIMITED","Software & Services","30/05/2011","SUSPENDED"
"AOA","AUSMON RESOURCES LIMITED","Materials","31/03/2009",4387197
"AOF","AUSTRALIAN UNITY OFFICE FUND","Equity Real Estate Investment Trusts (REITs)","20/06/2016",152054679
"AON","APOLLO MINERALS LIMITED","Materials","31/10/2007",16697487
"APA","APA GROUP","Utilities","13/06/2000",11020608696
"APC","AUSTRALIAN POTASH LIMITED","Materials","20/12/2011","SUSPENDED"
"APE","EAGERS AUTOMOTIVE LIMITED","Consumer Discretionary Distribution & Retail","17/04/1957",3550363666
"APL","ASSOCIATE GLOBAL PARTNERS LIMITED","Financial Services","30/09/2004",9886175
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","Commercial & Professional Services","12/11/2021",1270296995
"APS","ALLUP SILICA LIMITED","Materials","02/05/2022",4394607
"APW","AIMS PROPERTY SECURITIES FUND","Equity Real Estate Investment Trusts (REITs)","17/12/2004",55648854
"APX","APPEN LIMITED","Software & Services","07/01/2015",107950717
"APZ","ASPEN GROUP","Equity Real Estate Investment Trusts (REITs)","11/04/1991",309094541
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","Materials","17/12/1999",57002893
"AQD","AUSQUEST LIMITED","Materials","25/11/2003",10726940
"AQI","ALICANTO MINERALS LIMITED","Materials","19/09/2012",23998135
"AQN","AQUIRIAN LIMITED","Commercial & Professional Services","27/07/2021",14117945
"AQX","ALICE QUEEN LIMITED","Materials","09/09/2004",1018444
"AQXNB","ALICE QUEEN LIMITED","Materials","09/09/2004",1018444
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","Transportation","20/12/2011",458093886
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","Materials","03/11/2021","SUSPENDED"
"AR3","AUSTRALIAN RARE EARTHS LIMITED","Materials","01/07/2021",22354064
"AR9","ARCHTIS LIMITED","Software & Services","21/09/2018",31425562
"ARA","ARIADNE AUSTRALIA LIMITED","Commercial & Professional Services","12/10/1982",106803196
"ARB","ARB CORPORATION LIMITED.","Automobiles & Components","26/06/1987",2710807940
"ARC","ARC FUNDS LIMITED","Financial Services","14/04/2000",6015270
"ARD","ARGENT MINERALS LIMITED","Materials","03/04/2008",12968793
"ARE","ARGONAUT RESOURCES NL","Materials","23/01/1986",16036052
"ARF","ARENA REIT.","Equity Real Estate Investment Trusts (REITs)","13/06/2013",1235040572
"ARG","ARGO INVESTMENTS LIMITED","Not Applic","31/03/1963",6500853621
"ARL","ARDEA RESOURCES LIMITED","Materials","09/02/2017",84677933
"ARN","ALDORO RESOURCES LIMITED","Materials","13/09/2018",11173771
"ARR","AMERICAN RARE EARTHS LIMITED","Materials","17/02/2011",64890878
"ART","AIRTASKER LIMITED","Media & Entertainment","23/03/2021",79061139
"ARU","ARAFURA RARE EARTHS LTD","Materials","05/11/2003",422672938
"ARV","ARTEMIS RESOURCES LIMITED","Materials","16/03/2007",34111363
"ARX","AROA BIOSURGERY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/07/2020",240408981
"AS2","ASKARI METALS LIMITED","Materials","07/07/2021",13149536
"ASB","AUSTAL LIMITED","Capital Goods","08/12/1998",670517469
"ASE","ASTUTE METALS NL","Materials","14/08/1986",16420780
"ASG","AUTOSPORTS GROUP LIMITED.","Consumer Discretionary Distribution & Retail","16/11/2016",458280000
"ASH","ASHLEY SERVICES GROUP LIMITED","Commercial & Professional Services","21/08/2014",53271084
"ASK","ABACUS STORAGE KING","Equity Real Estate Investment Trusts (REITs)","01/08/2023",1504647891
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","Materials","30/07/2020",222667296
"ASN","ANSON RESOURCES LIMITED","Materials","08/07/2010",180003484
"ASO","ASTON MINERALS LIMITED","Materials","04/03/2011",37556864
"ASP","ASPERMONT LIMITED.","Media & Entertainment","27/04/2000",19510110
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","Materials","22/10/2007",16911623
"ASR","ASRA MINERALS LIMITED","Materials","30/06/1986",12217468
"ASV","ASSET VISION CO LTD","Commercial & Professional Services","02/12/2013",5806693
"ASW","ADVANCED SHARE REGISTRY LIMITED","Financial Services","10/06/2008",31912283
"ASX","ASX LIMITED","Financial Services","14/10/1998",11404690993
"AT1","ATOMO DIAGNOSTICS LIMITED","Health Care Equipment & Services","16/04/2020",14062451
"ATA","ATTURRA LIMITED","Software & Services","22/12/2021",202651144
"ATC","ALTECH BATTERIES LTD","Materials","27/01/2010",119039464
"ATG","ARTICORE GROUP LIMITED","Consumer Discretionary Distribution & Retail","16/05/2016",121569696
"ATH","ALTERITY THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/03/2000",19616523
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","Materials","09/08/1999",5672798781
"ATP","ATLAS PEARLS LTD","Consumer Durables & Apparel","31/12/1993",53483970
"ATR","ASTRON CORPORATION LIMITED","Materials","11/11/1983",70552899
"ATS","AUSTRALIS OIL & GAS LIMITED","Energy","25/07/2016",20269849
"ATU","ATRUM COAL LIMITED","Materials","24/07/2012","SUSPENDED"
"ATV","ACTIVEPORT GROUP LTD","Software & Services","20/10/2021",31714787
"ATX","AMPLIA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/12/2013",13192393
"AU1","THE AGENCY GROUP AUSTRALIA LTD","Real Estate Management & Development","18/12/2007",18000217
"AUA","AUDEARA LIMITED","Consumer Durables & Apparel","18/05/2021",4740787
"AUB","AUB GROUP LIMITED","Insurance","16/11/2005",3049450091
"AUC","AUSGOLD LIMITED","Materials","16/12/2009",75772660
"AUE","AURUM RESOURCES LIMITED","Materials","02/11/2021",7482500
"AUG","AUGUSTUS MINERALS LIMITED","Materials","25/05/2023",15654375
"AUH","AUSTCHINA HOLDINGS LIMITED","Energy","17/03/2003",6233651
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","Not Applic","01/01/1974",1226868756
"AUK","AUMAKE LIMITED.","Consumer Discretionary Distribution & Retail","07/12/2011",7436294
"AUN","AURUMIN LIMITED","Materials","09/12/2020",7642634
"AUQ","ALARA RESOURCES LIMITED","Materials","24/05/2007",28723502
"AUR","AURIS MINERALS LIMITED","Materials","15/03/2001",4289634
"AUZ","AUSTRALIAN MINES LIMITED","Materials","28/09/2001",11238734
"AV1","ADVERITAS LIMITED","Software & Services","18/12/2012",33100706
"AVA","AVA RISK GROUP LIMITED","Technology Hardware & Equipment","11/05/2015",46044501
"AVC","AUCTUS INVESTMENT GROUP LIMITED","Financial Services","10/08/2011",47584997
"AVD","AVADA GROUP LIMITED","Commercial & Professional Services","17/12/2021",40344137
"AVE","AVECHO BIOTECHNOLOGY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/08/1993",11092540
"AVG","AUSTRALIAN VINTAGE LTD","Food, Beverage & Tobacco","26/03/1992",104844972
"AVH","AVITA MEDICAL INC.","Pharmaceuticals, Biotechnology & Life Sciences","24/06/2020",475242908
"AVJ","AVJENNINGS LIMITED","Consumer Durables & Apparel","27/01/1994",136776360
"AVL","AUSTRALIAN VANADIUM LIMITED","Materials","21/02/2007",109309349
"AVM","ADVANCE METALS LIMITED","Materials","20/12/2007",2377897
"AVR","ANTERIS TECHNOLOGIES LTD","Health Care Equipment & Services","24/03/2004",342938950
"AVW","AVIRA RESOURCES LTD","Materials","09/01/2013",3200685
"AVZ","AVZ MINERALS LIMITED","Materials","14/09/2007","SUSPENDED"
"AW1","AMERICAN WEST METALS LIMITED","Materials","13/12/2021",53746121
"AWC","ALUMINA LIMITED","Materials","31/10/1961",2263311505
"AWJ","AURIC MINING LIMITED","Materials","12/02/2021",9160171
"AX1","ACCENT GROUP LIMITED","Consumer Discretionary Distribution & Retail","07/07/2004",1030387349
"AX8","ACCELERATE RESOURCES LIMITED","Materials","14/02/2018",19918561
"AXE","ARCHER MATERIALS LIMITED","Semiconductors & Semiconductor Equipment","14/08/2007",95567630
"AXI","AXIOM PROPERTIES LIMITED","Real Estate Management & Development","31/01/1997",19039401
"AXN","ALLIANCE NICKEL LIMITED","Materials","21/08/1980",36291981
"AXP","AXP ENERGY LIMITED","Energy","20/07/2006",5824681
"AYA","ARTRYA LIMITED","Health Care Equipment & Services","26/11/2021",13763574
"AYI","A1 INVESTMENTS & RESOURCES LTD","Financial Services","02/10/2007","SUSPENDED"
"AYM","AUSTRALIA UNITED MINING LIMITED","Materials","19/09/2011",3685155
"AYT","AUSTIN METALS LIMITED","Materials","06/07/2011",7111123
"AZI","ALTAMIN LIMITED","Materials","24/12/2009",19194121
"AZJ","AURIZON HOLDINGS LIMITED","Transportation","22/11/2010",6718569534
"AZL","ARIZONA LITHIUM LIMITED","Materials","08/07/1971",117058004
"AZS","AZURE MINERALS LIMITED","Materials","16/12/2003",1637486083
"AZY","ANTIPA MINERALS LIMITED","Materials","20/04/2011",57887311
"B4P","BEFOREPAY GROUP LIMITED","Financial Services","17/01/2022",19250222
"BAP","BAPCOR LIMITED","Consumer Discretionary Distribution & Retail","24/04/2014",1856586375
"BAS","BASS OIL LIMITED","Energy","30/09/2004",24155499
"BAT","BATTERY MINERALS LIMITED","Materials","29/10/2012",4066553
"BBC","BNK BANKING CORPORATION LIMITED","Banks","22/05/2012",39177404
"BBL","BRISBANE BRONCOS LIMITED","Media & Entertainment","12/05/1989",88726772
"BBN","BABY BUNTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","14/10/2015",241482615
"BBT","BLUEBET HOLDINGS LTD","Consumer Services","02/07/2021",43201064
"BBX","BBX MINERALS LIMITED","Materials","12/08/2005",14495792
"BC8","BLACK CAT SYNDICATE LIMITED","Materials","30/01/2018",82016643
"BCA","BLACK CANYON LIMITED","Materials","05/05/2021",7154854
"BCB","BOWEN COKING COAL LIMITED","Materials","22/06/1995",267324420
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","Technology Hardware & Equipment","06/11/1986",15988055
"BCI","BCI MINERALS LIMITED","Materials","15/12/2006",327655791
"BCK","BROCKMAN MINING LIMITED","Materials","11/01/2011",222725571
"BCN","BEACON MINERALS LIMITED","Materials","20/10/2006",101432741
"BCT","BLUECHIIP LIMITED","Technology Hardware & Equipment","09/06/2011",14954673
"BDG","BLACK DRAGON GOLD CORP.","Materials","29/08/2018",6020102
"BDM","BURGUNDY DIAMOND MINES LIMITED","Materials","04/01/2013",220286811
"BDT","BIRDDOG TECHNOLOGY LIMITED","Technology Hardware & Equipment","20/12/2021",17373698
"BDX","BCAL DIAGNOSTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/07/2021",25163916
"BEE","BROO LTD","Food, Beverage & Tobacco","14/10/2016","SUSPENDED"
"BEL","BENTLEY CAPITAL LIMITED","Not Applic","07/11/1986","SUSPENDED"
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","Banks","19/12/1985",5182830318
"BEO","BEONIC LTD","Software & Services","17/12/1999",11658280
"BET","BETMAKERS TECHNOLOGY GROUP LTD","Consumer Services","11/12/2015",78705719
"BEXDA","BIKEEXCHANGE LIMITED","Consumer Discretionary Distribution & Retail","09/02/2021","--"
"BEZ","BESRA GOLD INC.","Materials","08/10/2021",65552527
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","Food, Beverage & Tobacco","28/08/2015",13979328
"BFG","BELL FINANCIAL GROUP LIMITED","Financial Services","12/12/2007",380081578
"BFL","BSP FINANCIAL GROUP LIMITED","Banks","25/05/2021",2499626888
"BGA","BEGA CHEESE LIMITED","Food, Beverage & Tobacco","19/08/2011",971411702
"BGD","BARTON GOLD HOLDINGS LIMITED","Materials","28/06/2021",46928939
"BGE","BRIDGE SAAS LIMITED","Software & Services","06/10/2022",2417231
"BGL","BELLEVUE GOLD LIMITED","Materials","20/12/2005",2108425214
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","Consumer Discretionary Distribution & Retail","20/07/2017",1002446001
"BGT","BIO-GENE TECHNOLOGY LTD","Materials","29/11/2017",11276248
"BHD","BENJAMIN HORNIGOLD LIMITED","Not Applic","12/05/2017",5555705
"BHP","BHP GROUP LIMITED","Materials","13/08/1885",239396580140
"BIM","BINDI METALS LIMITED","Materials","28/06/2022",5160000
"BIO","BIOME AUSTRALIA LIMITED","Household & Personal Products","30/11/2021",32857775
"BIS","BISALLOY STEEL GROUP LIMITED","Materials","23/06/2003",100616819
"BIT","BIOTRON LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2001",80302520
"BKG","BOOKTOPIA GROUP LIMITED","Consumer Discretionary Distribution & Retail","03/12/2020",16202562
"BKI","BKI INVESTMENT COMPANY LIMITED","Not Applic","12/12/2003",1380858892
"BKT","BLACK ROCK MINING LIMITED","Materials","10/12/2003",85590932
"BKW","BRICKWORKS LIMITED","Materials","30/06/1962",3859529246
"BKY","BERKELEY ENERGIA LIMITED","Energy","16/09/2003",169402752
"BLD","BORAL LIMITED.","Materials","21/02/2000",5493380327
"BLG","BLUGLASS LIMITED","Semiconductors & Semiconductor Equipment","22/09/2006",82514465
"BLU","BLUE ENERGY LIMITED.","Energy","13/10/1994",38870446
"BLX","BEACON LIGHTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","15/04/2014",497172507
"BLY","BOART LONGYEAR GROUP LTD","Materials","05/04/2007",362502507
"BLZ","BLAZE MINERALS LIMITED","Energy","12/09/1996",5028466
"BM8","BATTERY AGE MINERALS LTD","Materials","04/11/2020",16998765
"BME","BLACK MOUNTAIN ENERGY LTD","Energy","23/12/2021",9197380
"BMG","BMG RESOURCES LIMITED","Materials","12/05/2004",6971769
"BMH","BAUMART HOLDINGS LIMITED","Capital Goods","19/06/2015",14474476
"BML","BOAB METALS LIMITED","Materials","15/07/2004",33147926
"BMM","BALKAN MINING AND MINERALS LIMITED","Materials","14/07/2021",8944933
"BMN","BANNERMAN ENERGY LTD","Energy","28/04/2005",408013934
"BMO","BASTION MINERALS LIMITED","Materials","16/03/2021",3137329
"BMR","BALLYMORE RESOURCES LIMITED","Materials","03/09/2021",24203512
"BMT","BEAMTREE HOLDINGS LIMITED","Health Care Equipment & Services","06/06/2019",64834276
"BNL","BLUE STAR HELIUM LIMITED","Energy","24/11/1994",40787571
"BNR","BULLETIN RESOURCES LIMITED","Materials","20/12/2010",33765532
"BNZ","BENZ MINING CORP.","Materials","23/12/2020",47358862
"BOA","BOADICEA RESOURCES LIMITED","Materials","11/10/2012",4431251
"BOC","BOUGAINVILLE COPPER LIMITED","Materials","31/12/1970",142377188
"BOD","BOD SCIENCE LIMITED","Consumer Discretionary Distribution & Retail","27/10/2016","SUSPENDED"
"BOE","BOSS ENERGY LTD","Energy","25/07/2007",1464674291
"BOL","BOOM LOGISTICS LIMITED","Capital Goods","14/10/2003",46913634
"BOQ","BANK OF QUEENSLAND LIMITED.","Banks","24/08/1971",3654653415
"BOT","BOTANIX PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","24/01/1985",238877420
